公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,薪资,职位福利,经营范围,职位类型,公司福利,第二职位类型,城市
雪球（北京）技术开发有限公司,雪球,150-500人,D轮及以上,朝阳区,数据分析实习生,在校/应届,本科,3k-5k,金融科技 优秀团队 成长空间,金融,开发|测试|运维类,"['股票期权', '带薪年假', '年度旅游', '定期体检']",数据开发,北京
杭州洋驼网络科技有限公司,海拍客,2000人以上,D轮及以上,西湖区,数据分析实习生,在校/应届,不限,2k-3k,五险一金，周末双休，高速发展，D轮,电商,产品|需求|项目类,"['股票期权', '带薪年假', '绩效奖金', '年终分红']",产品经理,杭州
北京金山云网络技术有限公司,金山云,2000人以上,上市公司,海淀区,数据分析实习生,在校/应届,本科,3k-5k,空间无限,"移动互联网,数据服务",运营|编辑|客服类,"['技能培训', '节日礼物', '瑜伽房', '免费班车']",运营,北京
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,媒体合作数据分析实习生,在校/应届,本科,2k-4k,"下午茶,扁平管理,免费三餐,弹性工作",文娱丨内容,运营|编辑|客服类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",运营,北京
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,数据分析实习生,在校/应届,本科,2k-3k,"免费三餐,租房补贴,下午茶,扁平管理",文娱丨内容,运营|编辑|客服类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",运营,北京
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,东城区,数据分析实习生,不限,本科,2k-3k,"下午茶,扁平管理,弹性工作,免费三餐",文娱丨内容,产品|需求|项目类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",产品经理,北京
浙江豪猪网络技术有限公司,豪猪,50-150人,不需要融资,余杭区,实习生-数据分析,在校/应届,本科,4k-5k,国际化、大平台,移动互联网,产品|需求|项目类,[],数据分析,杭州
虎扑（上海）文化传播股份有限公司,虎扑,500-2000人,D轮及以上,虹口区,数据分析实习生（复兴号） (MJ000554),不限,本科,2k-4k,学习机会,"移动互联网,文娱丨内容",开发|测试|运维类,"['上班看球赛', '运动俱乐部', '大神分享会', '节日礼物']",数据开发,上海
广发银行股份有限公司信用卡中心,广发银行信用卡中心,2000人以上,不需要融资,天河区,数据分析实习生,不限,本科,2k-3k,大平台、数据项目实践,金融,产品|需求|项目类,"['管理规范', '平台大机遇好', '金融科技', '绩效奖金']",数据分析,广州
北京公富信息技术有限公司,理脉,15-50人,未融资,朝阳区,金杜理脉-实习法律数据分析师,在校/应届,本科,10k-15k,法律科技,"移动互联网,数据服务",产品|需求|项目类,"['带薪年假', '岗位晋升', '管理规范', '五险一金']",数据分析,北京
南京蓝鲸人网络科技有限公司,美篇,150-500人,B轮,海淀区,数据分析实习生,在校/应届,本科,3k-5k,氛围好 牛人多 福利好,"移动互联网,社交",产品|需求|项目类,"['弹性工作', '期权激励', '六险一金', '租房补贴']",数据分析,北京
北京融顺网络科技有限公司,e兼职,50-150人,A轮,黄浦区,数据运营实习生（不涉及数据分析）,在校/应届,本科,4k-5k,周末双休,"移动互联网,企业服务",运营|编辑|客服类,[],运营,上海
